district,mandal,industry_category,industry_type,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,year
Hyderabad,Charminar,SMALL,Proprietary,SPACE TECH,Surgical and medical products assembling only (not involving effluent / emission generating processes),300000,4,Working,No,HT,NO,2021
Hyderabad,Charminar,SMALL,Proprietary,SAINOR LABORATORIES PVT LTD,Rope (plastic and cotton),300000,4,Working,No,HT,NO,2021
Hyderabad,Charminar,SMALL,Proprietary,MEDICUBE HEALTH CARE PRIVATE LIMITED,Printing press,500000,5,Working,No,HT,NO,2021
Hyderabad,Charminar,SMALL,Proprietary,M K FURNITURE,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",350000,4,Working,No,HT,NO,2021
Hyderabad,Charminar,SMALL,Proprietary,SRI SRI RAMA PRODUCTS,Compact disc computer floppy and cassette manufacturing / Reel manufacturing,250000,2,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Pvt Ltd,SHRI JAGADAMBA ENTERPRISES,"Dry coal processing, mineral processing, industries involving ore sintering, pelletisating, Grinding and Pulverisation",500000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,ETIHAD ENTERPRISES,Electric lamp ( bulb) and GE manufacturing by assembling only,600000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Pvt Ltd,MIAM VALVES PRIVATE LIMITED,Reprocessing of waste plastic Including PVC,600000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,SREE LAXMI PLASTICS,Reprocessing of waste plastic Including PVC,250000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,LODHA JEWELLERS,Fountain pen manufacturing by assembling only,500000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Pvt Ltd,LEPO INDIA PRIVATE LIMITED,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",300000,3,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,Maheshwari Metal Industry,Compact disc computer floppy and cassette manufacturing / Reel manufacturing,650000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,DRAGAN PAPER PRODUCTS,Printing or etching of glass sheet usinghydrofluoric acid,350000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,MEDIUM,Proprietary,AKS PACKAGING,Digital printing on PVC clothes,400000,6,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,SUNIL ENTERPRISES,"Dry coal processing, mineral processing, industries involving ore sintering, pelletisating, Grinding and Pulverisation",300000,8,Working,No,HT,NO,2021
Hyderabad,Golconda,MEDIUM,Proprietary,SIA PUBLISHERS & DISTRIBUTORS PRIVATE LIMITED,"Pulp & Paper ( Large-Agro + wood) , Small Pulp &Paper ( agro based-wheatstraw/rice husk)",700000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,DAIVIKAM INDUSTRIES,Glass putty and sealant ( by mixing with machine only),400000,8,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,SARAN JUTE BAGS,Ice cream,200000,3,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Partnership,SHRI SHAKTHI GANAPATHI ENTERPRISES,Pulverization of bamboo and scrap wood,500000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,M/S.HAFIZUL GOLD WORK SHOP,Coffee seed processing,200000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Pvt Ltd,Truelyser Biosystems Private Limited,Ply-board manufacturing (includingVeneer and laminate) with oil firedboiler/ thermlc fluid heater(withoutresin plant),500000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,New Famous Boxers Manufacturers,Leather foot wear and leather products (excluding tanning and hide processing except cottage scale),500000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,MICRO,Partnership,Chandrashekar Furniture Works,"Silk screen printing, sari printing by wooden blocks",500000,6,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Pvt Ltd,NAVBHARAT SEEDS PRIVATE LIMITED,Thermal Power Plants,350000,3,Working,No,HT,NO,2021
Hyderabad,Golconda,LARGE,Proprietary,VAIBHAV ENTERPRISES,Dismantling of rolling stocks ( wagons/coaches),700000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,MM ENTERPRISES,Fertilizer (granulation/ formulation/ Blending only),250000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,AMIN JEWELLERY ART,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",500000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,INTELLISENCE ENTERPRISES,Power looms (without dye and bleaching),500000,6,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,MOHD AFSAR ENGINEERING WORKS,Electric lamp ( bulb) and GE manufacturing by assembling only,300000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,MEDIUM,Proprietary,IPM BIO CONTROL LABS PVT LTD,Compact disc computer floppy and cassette manufacturing / Reel manufacturing,500000,10,Working,No,HT,NO,2021
Hyderabad,Golconda,MEDIUM,Proprietary,BLOT INDUSTRIES,"Manufacturing of tooth powder, toothpaste, talcum powder and other cosmetic items",300000,5,Working,No,HT,NO,2021
Hyderabad,Golconda,SMALL,Proprietary,TAYAL JEWELLERS,"Flyash export, transport & disposal facilities",500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,Amar And Sons Trading,Organic and inorganic nutrients ( by physical mixing),300000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,RASHEED FABRICATION WORKS PRIVATE LIMITED,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Pvt Ltd,YOUSUFAIN FURNITURE & TIMBER,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",600000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Partnership,EARTHICA,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)",500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,MEDIUM,Proprietary,SAFA SOCIETY,Coke briquetting ( sun drying),400000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,TAMOGHNA FOODS & BEVERAGES PRIVATE LIMITED,"Fermentation Industry including water polluting manufacture of yeast, beer, distillation of alcohol (Extra Neutral Alcohol)",500000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,MALIK JEWELLERS,Airports and Commercial AirStrips,500000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,OSSV SECURE PRINT PVT LTD,Polythene and plastic processed products manufacturing(Virgin Plastic),200000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,N A ENGINEERING WORKS,Fly ash bricks/ block manufacturing,500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,INDIAN ENTERPRISES,Diesel pump repairing and servicing ( complete mechanical dry process),500000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,TWIN PUMPS,Flakes from rejected PET bottle,500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,SRI SHYAM TEXTILES,Dry Cell Battery (excluding manufacturing of electrodes) and assembling & Changing of acid lead battery on micro scale,500000,8,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,VASAVI PAPER PRODUCTS,Electric lamp ( bulb) and GE manufacturing by assembling only,700000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,DOLFIN EXCLUSIVE DESIGNER FOOTWEAR,Leather foot wear and leather products (excluding tanning and hide processing except cottage scale),500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,PRATIBHA INDUSTRIES LTD,Industry or process involving'metal surface treatment orprocess such as pickling/electroplating/paint stripping/heat treatment using cyanidebath/ phosphating or finishingand anodizing / enamellings/galvanizing,500000,15,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,LARGE,Proprietary,SALASAR HYGIENE SOLUTIONS,"Isolated storage of hazardouschemicals (as per schedule of manufacturing, storage ofhazardous chemicals rules ;1989as amended)",200000,6,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Pvt Ltd,RHIZZ MOTORS PRIVATE LIMITED,Decoration of ceramic cups and plates by electric furnace,350000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,MEDIUM,Proprietary,VARUN POWER CONNECTORS,DG Set of capacity > 5 MVA,150000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,S AGRI FOODS,Food and food processing including fruits and vegetable processing,250000,5,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Pvt Ltd,JAYALAKSHMI ENTERPRISES,Dairy and dairy products ( small scale),350000,6,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,MEDIUM,Proprietary,ICORE MINERALS AND GRANITE COMPANY,Stone crushers,500000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,MEDIUM,Proprietary,D P PRODUCTS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)",800000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,EDGEFX TECHNOLOGIES PRIVATE LIMITED,Automobile Manufacturing(integrated facilities),300000,2,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,MANIKANDAN KUMARVEL,Insulation and other coated papers (excluding paper or pipe manufacturing),700000,10,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,Y. Roshni,Cotton spinning an. weaving (small scale),700000,8,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,SIMCRETE INDIA PRIVATE LIMITED,Industrial estates / parks/complexes / areas / export processing zones/ SEZs / Biotech parks/ leather complex,250000,3,Working,No,HT,NO,2021
Hyderabad,Himayathnagar,SMALL,Proprietary,VISION GRANITES,Fibre glass production andprocessing (excluding moulding),200000,2,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,RAJDHANI INDUSTRIES,"Industries engaged in recycling/reprocessing/ recovery/ reuse of Hazardous Waste under schedule iv of HW( M, H& TBM) rules, 2008 - Items namely - Brass Dross,Copper Dross,Copper Oxide Mill Scale,Copper Reverts, Cake & Residues, Waste Copper and copper alloys in dispersible form, Slags from copper processing for further processing or refining, Insulated Copper Wire Scrap/copper with PVC sheathing including ISRI-code material namely ""Druid"" Jelly filled Copper cables ""Zinc Dross-Hot dip GalvanizersSLAB, Zinc Dross-Bottom Dross, Zinc ash/Skimming arising from galvanizing and die casting operations, Zinc ash/Skimming/ other zinc bearing wastes arising from smelting and refining, Zinc ash and residues including zinc alloy residues in dispersible from,",700000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,has industries,Industry or process involving'metal surface treatment orprocess such as pickling/electroplating/paint stripping/heat treatment using cyanidebath/ phosphating or finishingand anodizing / enamellings/galvanizing,500000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,Pakeezah Paan,"Chilling plant, cold storage and ice making",200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,SRI PRIYA PLASTICS,Reprocessing of waste plastic Including PVC,500000,4,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,KIDS FUNFOODS INDIA PRIVATE LIMTED,Cashew nut processing,200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,ALLWIN FOOD PRODUCTS,Food and food processing including fruits and vegetable processing,350000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,INDUS HAIR EXTENSIONS,Cotton spinning and weaving (medium and large scale),200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,MUSADDILAL & SONS,Pulverization of bamboo and scrap wood,150000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,SSR MINERALS INDIA PRIVATE LIMITED,Mineral stack yard / Railway sidings,300000,10,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,DEEKSHA ENTERPRISE,Rubber goods industry (with gas operated baby boiler),150000,2,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,AL RAHMA ICE CREAM PARLOUR AND BAKERY,Bakery and confectionery units with production capacity> 1 TPD. ( Withovens / furnaces),500000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,"WADIA FOCUS, FUTURE FURNITURE","Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",500000,10,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,VAISHNAVI INDUSTRIES,Electrical and electronic item assembling ( completely dry process),320000,2,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,SARCO LABORATORIES,Emery powder ( fine dust of sand) manufacturing,250000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,AMARDEEP PACKAGING,Packing of powdered mill,250000,10,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,SOMESHWARA ENGINEERING WORKS,Fly ash bricks/ block manufacturing,300000,4,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,RELIANCE NOTE BOOK MANUFACTURERS,"Pulp & Paper ( Large-Agro + wood) , Small Pulp &Paper ( agro based-wheatstraw/rice husk)",350000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,IRFAN GARMENTS,Power generation plant [exceptWind and Solar renewablepower plants of all capacities and Mini Hyde! power plant of capacity >25MW[,250000,2,Working,No,HT,NO,2021
Hyderabad,Hyderabad,MEDIUM,Proprietary,M/S FAWN PACKAGING,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)",500000,6,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,UNIQUE BHARAT BAKER,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),300000,4,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,ELITE PRODUCTS,Ayurvedic and homeopathic medicine,400000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,M/S KRISHNA FOOD PRODUCTS,Dairy and dairy products ( small scale),150000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,M/S.RAMA EXCAVATOR,Power generation plant [exceptWind and Solar renewablepower plants of all capacities and Mini Hyde! power plant of capacity >25MW[,300000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,formulation,Pharmaceuticals,10,8,Closed,No,LT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,HIMA POWER,Thermal Power Plants,400000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,MEDIUM,Partnership,INDIAN TENT MAKERS,Coated electrode manufacturing,800000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,PANWAR BROTHERS,Automobile Manufacturing(integrated facilities),400000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,R.R.APPARELS,Bailing (hydraulic press)of waste papers,300000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,ANAND JEWELLERS,"Gravure printing, digital printing on flex, vinyl",300000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,SRI VENKATESHWARA TEXTILES,Cotton spinning an. weaving (small scale),300000,4,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,SRI LAKSHMI ENGINEER AND FABRICATION,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,KANNU MARK BEEDI FACTORY,Tobacco products including cigarettes and tobacco/ opium processes,500000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,ASHOK ENGG.WORKS,Synthetic rubber excluding molding,200000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,SHIVRAJ LAXMICHAND JAIN JEWELLERS,Ceramics and Refractories,300000,9,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,VIETA PLUS FOODS & BEVERAGES PRIVATE LIMITED,Biscuits trays etc from rolled PVC sheet (using automatic vacuum forming machines),200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,MICROWAVES & ELECTRONIC SYSTEMS,Transformer repairing/ manufacturing( dry process only),200000,6,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,GAYATRI PRODUCTS,Manufacturing of iodized salt fromcrude/ raw salt,600000,6,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,Keerthi's Printing Services,"Gravure printing, digital printing on flex, vinyl",200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,SWATHI SRI FOODS,Coffee seed processing,200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,COMPU POWER PVT LTD,Electric lamp ( bulb) and GE manufacturing by assembling only,500000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,SRI ANNAPURNA BHOJANASALA,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),200000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,MUBARAK FURNITURE,Manufacturing of mirror from sheet glass,600000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,KUNDAN CRAFT PRIVATE LTD,"Ferrous and Non- ferrous metal extraction involving different furnaces through melting, refining, re-processing, casting and alloy-making",450000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,KALYANI PRODUCTS,Food and food processing including fruits and vegetable processing,400000,4,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,ADONIKA JEWELLERS,Power generation plant [exceptWind and Solar renewablepower plants of all capacities and Mini Hyde! power plant of capacity <25MW[,300000,6,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,HIGENE BIOTECH PRIVATE LIMITED,Bio fertilizer and bio-pesticides without using inorganic chemicals,300000,4,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,KARNI GREEN BUILDING PRODUCTS PRIVATE LIMITED,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD",500000,6,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,SRINIVAS DEEWAN,"Cutting, sizing and polishing of marble stone",300000,3,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,SHARADA ENGINEERING ENTERPRISES,"Assembly of bicycles ,baby carriages and other small non motorizing vehicles",500000,5,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Proprietary,BHARAT ICE INDUSTRIES,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),400000,6,Working,No,HT,NO,2021
Hyderabad,Hyderabad,SMALL,Pvt Ltd,WIIZ ENTERPRISES,Food and food processing including fruits and vegetable processing,300000,3,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,JYOTHI FILE INDUSTRIES,Rubber goods industry (with gas operated baby boiler),500000,8,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,SYNAPTICS PHARMACEUTICALS PRIVATE LIMITED,Assembling of Acid lead battery (upto 10 batteries per day excluding lead plate casting),250000,10,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,SEA COOL REFRIGERATION ENGINEERING WORKS,"Solar power generation through solar photovoltaic cell, wind power and mini hydel power (less than 25 MW)",500000,6,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,OMSAI CONSTRUCTIONS,Ready mix cement concrete,300000,4,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,DPSP,Pulp & Paper ( waste paper based without bleaching process tomanufacture Kraft paper),520000,5,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,SUCHITHRA SYSTUM,Cotton and woolen hosiers making ( Dry process only without any dying / washing operation),500000,5,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,AKSON RESTAURANT,Chanachur and ladoo from puffed and beaten rice( murl and shira) using husk fired oven,300000,5,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Pvt Ltd,DIABETOMICS MEDICAL PRIVATE LIMITED,Ayurvedic and homeopathic medicines (without boiler),300000,6,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,PLASTOPACK,Packing of powdered mill,400000,10,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,DESIGNED DOORS,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",500000,8,Working,No,HT,NO,2021
Hyderabad,Khairatabad,MEDIUM,Proprietary,DAIRY ICE CREAM & FROZEN FOODS PVT LTD,Dairy and dairy products ( small scale),500000,10,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Pvt Ltd,PRAG DISTILLERY PVT LIMITED,Distillery ( molasses / grain /yeast based),450000,5,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,KISHORESONS DETERGENTS PVT LTD,Leather cutting and stitching (more than 10 machine and using motor),900000,10,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Pvt Ltd,THINK GREY ADS PRIVATE LIMITED,Thermal Power Plants,300000,4,Working,No,HT,NO,2021
Hyderabad,Khairatabad,SMALL,Proprietary,DEEPA JEWELLERS PRIVATE LIMITED,"Gravure printing, digital printing on flex, vinyl",500000,5,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,MAJMUN TECHNOLOGIES PRIVATE LIMITED,"Glass , ceramic, earthen potteries, tile and tile manufacturing using electrical kiln or not Involving fossil fuel kiln",500000,5,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,SRI DURGA GRAPHICS,Power generation plant [exceptWind and Solar renewablepower plants of all capacities and Mini Hyde! power plant of capacity <25MW[,100000,2,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Pvt Ltd,DIVYA AGRO ROLLER FLOUR MILLS PVT LTD,"Chilling plant, cold storage and ice making",350000,5,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,SRI GANESH HANDLOOM AND TEXTILES,Cotton spinning an. weaving (small scale),300000,4,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,SKY READYMADE GARMENTS,"Assembly of air coolers /conditioners ,repairing and servicing",500000,10,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,SHUBHAM ENTERPRISES,Printing press,150000,4,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,Super Bed Works,"Gravure printing, digital printing on flex, vinyl",500000,10,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Pvt Ltd,M/S VARDHMAN INDUSTRIES,"Building and construction project more than 20,000 sq. m built up area",500000,4,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,PRATAP POULTRY EQUIPMENTS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),700000,5,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,ROYAL MART,Mechanized laundry using oil firedboiler,500000,8,Working,No,HT,NO,2021
Hyderabad,Musheerabad,SMALL,Proprietary,LORVEN INDUSTRIES,Bio fertilizer and bio-pesticides without using inorganic chemicals,600000,9,Working,No,HT,NO,2021
Hyderabad,Nampally,SMALL,Pvt Ltd,ATAMOS NANOTECH PRIVATE LIMITED,Reprocessing of waste cotton,300000,3,Working,No,HT,NO,2021
Hyderabad,Nampally,SMALL,Proprietary,AJAY METAL WORKS,Chalk making from plaster of Paris ( only casting without boilers etc. ( sun drying / electrical oven),300000,8,Working,No,HT,NO,2021
Hyderabad,Nampally,MEDIUM,Pvt Ltd,HYDERABAD METAL PRODUCTS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",300000,5,Working,No,HT,NO,2021
Hyderabad,Nampally,SMALL,Proprietary,RAITECH COMMUNICATIONS & EQUIPMENTS,Packing materials manufacturing from non asbestos fibre vegetable fibre yarn,700000,5,Working,No,HT,NO,2021
Hyderabad,Nampally,SMALL,Partnership,AUS AUTOMOTIVE LABORATORIES,Airports and Commercial AirStrips,500000,10,Working,No,HT,NO,2021
Hyderabad,Nampally,MEDIUM,Pvt Ltd,SASIDHAR INDUSTRIES,Thermal Power Plants,700000,6,Working,No,HT,NO,2021
Hyderabad,Nampally,SMALL,Proprietary,AL YAMEEN FROZEN FOODS,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),300000,4,Working,No,HT,NO,2021
Hyderabad,Nampally,MEDIUM,Pvt Ltd,KRISHNA HARDWARE SOLUTION PRIVATE LIMITED,"Ports and harbour, jetties anddredging operations",150000,6,Working,No,HT,NO,2021
Hyderabad,Nampally,SMALL,Pvt Ltd,KMG METALS,Polythene and plastic processed products manufacturing(Virgin Plastic),300000,3,Working,No,HT,NO,2021
Hyderabad,Saidabad,SMALL,Proprietary,MARVEL BUILDING PRODUCTS,Heavy engineering including Ship Building (with investment on Plant & Machineries more than Rs. 10 crores),500000,6,Working,No,HT,NO,2021
Hyderabad,Saidabad,SMALL,Proprietary,SRI ANNAPURNA KUNDAN CRAFT,"Dry coal processing, mineral processing, industries involving ore sintering, pelletisating, Grinding and Pulverisation",500000,6,Working,No,HT,NO,2021
Hyderabad,Saidabad,SMALL,Proprietary,PRAKRITI,"Flyash export, transport & disposal facilities",500000,5,Working,No,HT,NO,2021
Hyderabad,Secunderabad,SMALL,Proprietary,SREE MARUTHI REFRIGERATION,Reel manufacturing,300000,3,Working,No,HT,NO,2021
Hyderabad,Secunderabad,SMALL,Proprietary,YOUNG ENGINEERING,"Chilling plant, cold storage and ice making",400000,5,Working,No,HT,NO,2021
Hyderabad,Secunderabad,SMALL,Pvt Ltd,PANCHAVATI POLYFIBRES LIMITED,Basic chemicals and electrochemicals and its derivativesincluding manufacturing of acid,300000,3,Working,No,HT,NO,2021
