district,mandal,industry_category,industry_type,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,year
Hyderabad,Asifnagar,SMALL,Proprietary,tas apparels,"Isolated storage of hazardouschemicals (as per schedule of manufacturing, storage ofhazardous chemicals rules ;1989as amended)",300000,5,Working,No,HT,NO,2021
Hyderabad,Asifnagar,SMALL,Proprietary,M K TIN WORKS,Fertilizer (basic) (excludingformulation),350000,5,Working,No,HT,NO,2021
Hyderabad,Asifnagar,SMALL,Proprietary,BLUE SEA SNACKS & FOODS,Biscuits trays etc from rolled PVC sheet (using automatic vacuum forming machines),120000,5,Working,No,HT,NO,2021
Hyderabad,Asifnagar,SMALL,Proprietary,SBMS INDUSTRIES,"Industries engaged in recycling/reprocessing/ recovery/ reuse of Hazardous Waste under schedule iv of HW( M, H& TBM) rules, 2008 - Items namely - Brass Dross,Copper Dross,Copper Oxide Mill Scale,Copper Reverts, Cake & Residues, Waste Copper and copper alloys in dispersible form, Slags from copper processing for further processing or refining, Insulated Copper Wire Scrap/copper with PVC sheathing including ISRI-code material namely ""Druid"" Jelly filled Copper cables ""Zinc Dross-Hot dip GalvanizersSLAB, Zinc Dross-Bottom Dross, Zinc ash/Skimming arising from galvanizing and die casting operations, Zinc ash/Skimming/ other zinc bearing wastes arising from smelting and refining, Zinc ash and residues including zinc alloy residues in dispersible from,",250000,10,Working,No,HT,NO,2021
Hyderabad,Asifnagar,MEDIUM,Proprietary,SUNDER BOOKBINDING WORKS,Printing or etching of glass sheet usinghydrofluoric acid,600000,3,Working,No,HT,NO,2021
Hyderabad,Asifnagar,SMALL,Proprietary,DECCAN HANDICRAFTS,"Silk screen printing, sari printing by wooden blocks",300000,5,Working,No,HT,NO,2021
Hyderabad,Asifnagar,SMALL,Pvt Ltd,CAXTON OFFSET PRIVATE LIMITED,Fountain pen manufacturing by assembling only,300000,5,Working,No,HT,NO,2021
Hyderabad,Asifnagar,SMALL,Proprietary,SANTOSH HERBAL COSMETICS,Cotton and woolen hosiers making ( Dry process only without any dying / washing operation),500000,6,Working,No,HT,NO,2021
Hyderabad,Asifnagar,MEDIUM,Partnership,KOHINOOR PACKAGING INDUSTRIES,"Dry coal processing, mineral processing, industries involving ore sintering, pelletisating, Grinding and Pulverisation",500000,10,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Proprietary,M/S A B S LABORATORIES,Thermal Power Plants,600000,6,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Proprietary,M/S AGRAWAL PLASTIC INDUSTRIES,Reprocessing of waste plastic Including PVC,500000,5,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Proprietary,INDOMINE HYDRAULICS,"Synthetic fibers including rayon ,tyre cord, polyester filamentyarn",800000,10,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Proprietary,FAMOUS MECHANICAL & PLASTIC WORKS,"Facility of handling, storage and transportation of food grains in bulk",500000,10,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,MEDIUM,Proprietary,JEEVAKA INDUSTRIES PVT LTD,Tyres and tubes vulcanization/ hot retreating,400000,5,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Proprietary,ROYAL OVEN EQUIPMENTS,Packing materials manufacturing from non asbestos fibre vegetable fibre yarn,300000,9,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Partnership,R K INTERIORS,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",500000,10,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Pvt Ltd,YENUGONDA APPARELS PRIVATE LIMITED,Rubber goods industry (with gas operated baby boiler),230000,2,Working,No,HT,NO,2021
Hyderabad,Bahadurpura,SMALL,Proprietary,M/S. ELECTRO ENGINEERING ENTERPRISES,Diesel pump repairing and servicing ( complete mechanical dry process),500000,6,Working,No,HT,NO,2021
