district,mandal,industry_category,type_of_industry,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,district_name,mandal_name,employment,presentstatus,typeofindustry,typeofconnection
Hyderabad,Charminar,Medium,Proprietary,A K S Industries,Manufacturing Of Shoe Brush And Wire Brush,400000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Modern Furnitures,Thermal Power Plants,250000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Mansi Plastic,Flakes From Rejected Pet Bottle,300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Shekhar Enterprises,Power Generation Plant [Exceptwind And Solar Renewablepower Plants Of All Capacities And Mini Hyde! Power Plant Of Capacity <25Mw[,250000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Mainstay Holding,Fly Ash Bricks/ Block Manufacturing,200000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Rajkumar Painting Works,Leather Foot Wear And Leather Products (Excluding Tanning And Hide Processing Except Cottage Scale),300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,A S Engineering Works,Brass And Bell Metal Utensils Manufacturing From Circles(Dry Mechanical Operation Without Re-Rolling Facility),250000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Shakti Industries,Industry Or Process Involving'Metal Surface Treatment Orprocess Such As Pickling/Electroplating/Paint Stripping/Heat Treatment Using Cyanidebath/ Phosphating Or Finishingand Anodizing / Enamellings/Galvanizing,250000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Mahalaxmi Bakery,"Solar Power Generation Through Solar Photovoltaic Cell, Wind Power And Mini Hydel Power (Less Than 25 Mw)",500000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Dhanwinn Enterprises,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",300000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Sanjana Garments,Electric Lamp ( Bulb) And Ge Manufacturing By Assembling Only,600000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Pvt Ltd,Vraj Enterprises,Fish Processing And Packing (Excluding Chilling Of Fishes),300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Bhandari Steels,"Formulation/Palletization Of Camphor Tablets,Naphthalene Balls From Camphor/ Naphthalene Powders",300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
